Instance Name,Variant,Version,Nr ILS Iterations,Nr Hill Climbing Iterations,Best Solution Time,Best Score
I110_S330_C450,11,1,86,36081,1766,309099
I110_S330_C450,11,4,102,34528,1770,309087
I120_S480_C500,11,10,72,25468,1481,568905
I120_S480_C500,11,8,114,39371,1321,568946
I120_S480_C500,11,3,70,25060,1747,568933
I120_S480_C500,11,5,65,25112,890,568920
I120_S480_C500,11,6,98,33319,1786,568902
I120_S480_C500,11,2,62,26380,1754,568888
I120_S480_C500,11,7,87,28766,1774,568869
I120_S480_C500,11,9,66,24829,1290,568914
I120_S480_C500,11,1,78,25914,1453,568896
I120_S480_C500,11,4,70,25343,1800,568931
I120_S720_C400,11,8,39,15134,1010,345271
I120_S720_C400,11,3,33,15847,1726,345247
I120_S720_C400,11,10,39,15450,1734,345281
I120_S720_C400,11,7,45,15893,1491,345286
I120_S720_C400,11,5,43,15224,1668,345260
I120_S720_C400,11,2,43,15943,1063,345244
I120_S720_C400,11,4,46,16149,1780,345285
I120_S720_C400,11,1,43,15671,1531,345293
I120_S720_C400,11,6,37,15451,1567,345266
I120_S720_C400,11,9,48,16333,1364,345287
I150_S45150_C100,11,3,46,15434,1347,89791
I150_S45150_C100,11,10,36,15291,837,89800
I150_S45150_C100,11,7,60,18680,1800,89803
I150_S45150_C100,11,8,40,16948,1325,89805
I150_S45150_C100,11,6,40,15008,1427,89814
I150_S45150_C100,11,9,44,16500,1612,89812
I150_S45150_C100,11,4,51,15398,1464,89793
I150_S45150_C100,11,1,49,14746,1800,89794
I150_S45150_C100,11,5,46,15625,1703,89808
I150_S45150_C100,11,2,44,15105,1555,89811
I155_S57155_C300,11,4,17,4994,911,141225
I155_S57155_C300,11,8,14,4838,1194,141351
I155_S57155_C300,11,7,16,4830,1727,141326
I155_S57155_C300,11,5,12,4877,986,141352
I155_S57155_C300,11,3,14,5006,1488,141460
I155_S57155_C300,11,2,21,4856,1605,141313
I155_S57155_C300,11,9,9,4927,1668,141352
I155_S57155_C300,11,6,16,5190,1665,141432
I155_S57155_C300,11,10,18,4900,1490,141390
I155_S57155_C300,11,1,10,5811,1538,141404
I180_S1080_C800,11,5,17,5244,1749,1029331
I180_S1080_C800,11,2,20,5250,1376,1029279
I180_S1080_C800,11,8,22,7241,1560,1029562
I180_S1080_C800,11,1,13,5419,1457,1029414
I180_S1080_C800,11,4,23,7696,1800,1029541
I180_S1080_C800,11,9,20,5177,1784,1029165
I180_S1080_C800,11,10,11,5118,1661,1029322
I180_S1080_C800,11,6,16,5138,745,1029254
I180_S1080_C800,11,7,17,5097,1077,1029397
I180_S1080_C800,11,3,15,5994,1800,1029398
I2000_S12000_C57,11,10,113,38463,911,54502
I2000_S12000_C57,11,1,74,29072,1775,54510
I2000_S12000_C57,11,3,67,29159,619,54511
I2000_S12000_C57,11,5,76,29107,698,54507
I2000_S12000_C57,11,6,76,28950,1746,54504
I2000_S12000_C57,11,2,83,29614,1590,54507
I2000_S12000_C57,11,9,91,29091,956,54507
I2000_S12000_C57,11,7,69,30056,1782,54508
I2000_S12000_C57,11,8,75,29395,752,54505
I2000_S12000_C57,11,4,76,29202,923,54505
I2000_S6000_C376,11,4,4,1526,1642,1530875
I2000_S6000_C376,11,7,5,1419,1306,1530872
I2000_S6000_C376,11,2,4,2143,1801,1530873
I2000_S6000_C376,11,8,7,1469,1801,1530847
I2000_S6000_C376,11,1,3,1362,1292,1530878
I2000_S6000_C376,11,3,8,1474,1519,1530867
I2000_S6000_C376,11,6,5,1483,1503,1530860
I2000_S6000_C376,11,10,2,1408,1802,1530887
I2000_S6000_C376,11,5,6,1825,1199,1530875
I2000_S6000_C376,11,9,9,1384,946,1530856
I200_S1000_C400,11,4,13,3466,1503,21733
I200_S1000_C400,11,1,12,3769,1094,22519
I200_S1000_C400,11,5,8,3484,1800,22760
I200_S1000_C400,11,3,14,3653,768,21499
I200_S1000_C400,11,7,13,3421,1042,21744
I200_S1000_C400,11,8,8,3657,1108,22503
I200_S1000_C400,11,10,10,3352,1523,22286
I200_S1000_C400,11,2,11,3440,1800,22021
I200_S1000_C400,11,9,6,3365,1800,23035
I200_S1000_C400,11,6,15,6292,1386,22040
I200_S1000_C550,11,2,34,13589,1224,487208
I200_S1000_C550,11,6,61,21481,1200,487204
I200_S1000_C550,11,4,35,13354,1739,487252
I200_S1000_C550,11,1,32,12859,1663,487326
I200_S1000_C550,11,10,73,24409,1465,487259
I200_S1000_C550,11,5,43,13527,1518,487247
I200_S1000_C550,11,3,46,12895,966,487175
I200_S1000_C550,11,9,36,12962,1741,487294
I200_S1000_C550,11,8,38,13371,1042,487224
I200_S1000_C550,11,7,39,12941,1800,487140
I200_S17200_C1000,11,5,1,735,1803,1210201
I200_S17200_C1000,11,1,2,862,1802,1209558
I200_S17200_C1000,11,6,4,753,1801,1209837
I200_S17200_C1000,11,4,4,747,1434,1209778
I200_S17200_C1000,11,7,2,837,972,1209499
I200_S17200_C1000,11,3,5,869,1800,1209784
I200_S17200_C1000,11,2,1,805,1802,1210360
I200_S17200_C1000,11,8,3,800,1801,1209506
I200_S17200_C1000,11,9,4,832,1714,1210026
I200_S17200_C1000,11,10,7,838,1804,1209043
I200_S4200_C400,11,7,89,29703,1770,179155
I200_S4200_C400,11,3,67,29485,1499,179140
I200_S4200_C400,11,8,87,30821,1273,179148
I200_S4200_C400,11,5,91,30159,1188,179154
I200_S4200_C400,11,9,88,30279,1566,179157
I200_S4200_C400,11,1,82,29635,1530,179128
I200_S4200_C400,11,6,106,31479,1775,179120
I200_S4200_C400,11,10,86,31056,1107,179162
I200_S4200_C400,11,4,85,31046,1784,179114
I200_S4200_C400,11,2,93,30908,1280,179131
I220_S1100_C558,11,6,8,3143,1801,306517
I220_S1100_C558,11,7,6,3115,1800,306634
I220_S1100_C558,11,2,11,3086,1415,305404
I220_S1100_C558,11,3,8,3018,1800,305765
I220_S1100_C558,11,9,9,3584,451,306104
I220_S1100_C558,11,1,17,4857,1649,305962
I220_S1100_C558,11,5,9,3110,1792,305408
I220_S1100_C558,11,4,5,2997,1487,305121
I220_S1100_C558,11,10,7,3119,1510,304815
I220_S1100_C558,11,8,13,5860,758,306850
I220_S660_C430,11,8,25,10758,1551,144046
I220_S660_C430,11,3,11,5868,1463,144829
I220_S660_C430,11,4,17,5946,1116,141235
I220_S660_C430,11,2,13,5926,1140,146826
I220_S660_C430,11,5,12,5757,849,146757
I220_S660_C430,11,10,13,5897,1284,139851
I220_S660_C430,11,9,21,5976,1598,142622
I220_S660_C430,11,1,10,5967,1544,141934
I220_S660_C430,11,7,17,5892,1205,142562
I220_S660_C430,11,6,21,5737,898,145374
I241_S43241_C158,11,7,36,15571,1413,139560
I241_S43241_C158,11,9,47,14681,951,139562
I241_S43241_C158,11,6,41,14894,1370,139539
I241_S43241_C158,11,8,39,14407,1550,139552
I241_S43241_C158,11,10,36,15344,1766,139559
I241_S43241_C158,11,4,51,20931,1477,139579
I241_S43241_C158,11,2,39,15006,1753,139574
I241_S43241_C158,11,5,39,15129,1419,139564
