Instance Name,Variant,Version,Nr ILS Iterations,Nr Hill Climbing Iterations,Best Solution Time,Best Score,Best score of all executions,Average Score of all executions
I9000_S36000_C1500,1,6,15,2533,779,1128519,1128519,1128519.0
I9000_S36000_C1500,1,7,6,2552,1693,1128550,1128550,1128550.0
I9000_S36000_C1500,1,8,7,2654,1554,1128557,1128557,1128557.0
I9000_S36000_C1500,1,9,4,2650,1800,1128584,1128584,1128584.0
I90_S360_C400,1,1,102,36789,1800,449932,449932,449932.0
I90_S360_C400,1,10,100,36076,1758,449917,449917,449917.0
I90_S360_C400,1,2,97,35753,1572,449932,449932,449932.0
I90_S360_C400,1,3,106,35705,1216,449959,449959,449959.0
I90_S360_C400,1,4,99,37120,1563,449942,449942,449942.0
I90_S360_C400,1,5,115,35594,1101,449918,449918,449918.0
I90_S360_C400,1,6,114,37281,1167,449922,449922,449922.0
I90_S360_C400,1,7,91,36581,1751,449949,449949,449949.0
I90_S360_C400,1,8,86,35903,1782,449917,449917,449917.0
I90_S360_C400,1,9,98,36733,1559,449964,449964,449964.0
I99_S399_C400,1,1,144,51812,841,145872,145872,145872.0
I99_S399_C400,1,10,150,52990,1784,145868,145868,145868.0
I99_S399_C400,1,2,142,51320,1166,145885,145885,145885.0
I99_S399_C400,1,3,153,55231,1792,145880,145880,145880.0
I99_S399_C400,1,4,131,51856,1111,145889,145889,145889.0
I99_S399_C400,1,5,148,52462,1648,145881,145881,145881.0
I99_S399_C400,1,6,259,96235,1690,145902,145902,145902.0
I99_S399_C400,1,7,134,52762,367,145883,145883,145883.0
I99_S399_C400,1,8,142,52514,1348,145878,145878,145878.0
I99_S399_C400,1,9,130,50764,1466,145901,145901,145901.0
