Instance Name,Best Result,Average Result
I7073_S9102_C1000,4567046,4566977.0
I10000_S35030_C1000,1301796,1301104.2
I8000_S95928_C1000,1595487,1586374.2
I500_S998_C1000,744740,744192.4
I1662_S10000_C1000,1303074,1302580.0
I80_S240_C300,108270,108257.4
I80_S480_C600,483527,477851.4
I99_S399_C400,145826,145804.8
I100_S500_C500,450259,450217.4
I100_S600_C153,73878,72090.0
I120_S480_C500,568747,568716.2
I200_S1000_C400,20631,20246.2
I220_S660_C430,138124,135781.0
I300_S1500_C469,590109,590070.0
I600_S3000_C332,122777,122376.8
I2000_S12000_C57,54503,54501.4
I3333_S13332_C428,103138,103134.4
I4000_S24000_C401,1695875,1695860.6
I9000_S36000_C1500,1128579,1128568.0
I12000_S36000_C2000,2785116,2785108.4
