Instance Name,Best Result,Average Result
I7073_S9102_C1000,4566943,4566834.6
I10000_S35030_C1000,1301264,1300868.6
I8000_S95928_C1000,1594480,1586412.4
I500_S998_C1000,748472,745761.6
I1662_S10000_C1000,1302362,1301549.6
I80_S240_C300,108259,108250.2
I80_S480_C600,476911,475293.0
I99_S399_C400,145777,145760.8
I100_S500_C500,450152,450100.6
I100_S600_C153,71761,71167.4
I120_S480_C500,568664,568638.0
I200_S1000_C400,19770,19191.4
I220_S660_C430,132509,130691.0
I300_S1500_C469,590011,589960.8
I600_S3000_C332,122959,122490.2
I2000_S12000_C57,54499,54497.0
I3333_S13332_C428,103122,103114.4
I4000_S24000_C401,1695873,1695848.6
I9000_S36000_C1500,1128523,1128517.6
I12000_S36000_C2000,2785092,2785084.4
