Instance Name,Best Result,Average Result
I7073_S9102_C1000,4567067,4567027.2
I10000_S35030_C1000,1301780,1301403.8
I8000_S95928_C1000,1592640,1589523.2
I500_S998_C1000,748013,745683.0
I1662_S10000_C1000,1306049,1302855.4
I80_S240_C300,108276,108263.8
I80_S480_C600,481026,478306.6
I99_S399_C400,145816,145801.2
I100_S500_C500,450254,450198.2
I100_S600_C153,71754,70792.6
I120_S480_C500,568746,568731.8
I200_S1000_C400,20305,19881.0
I220_S660_C430,136084,134227.4
I300_S1500_C469,590100,590068.6
I600_S3000_C332,122535,122158.0
I2000_S12000_C57,54512,54504.6
I3333_S13332_C428,103146,103139.2
I4000_S24000_C401,1695893,1695870.8
I9000_S36000_C1500,1128586,1128577.6
I12000_S36000_C2000,2785131,2785117.6
