Instance Name,Best Result,Average Result
I7073_S9102_C1000,4567011,4566960.0
I10000_S35030_C1000,1302156,1301557.0
I8000_S95928_C1000,1601130,1591762.0
I500_S998_C1000,748003,745047.4
I1662_S10000_C1000,1305094,1303153.0
I80_S240_C300,108277,108272.0
I80_S480_C600,484621,481005.6
I99_S399_C400,145852,145843.8
I100_S500_C500,450286,450275.8
I100_S600_C153,73226,71591.8
I120_S480_C500,568847,568826.0
I200_S1000_C400,21388,20906.0
I220_S660_C430,140312,137359.0
I300_S1500_C469,590280,590247.4
I600_S3000_C332,122904,122632.6
I2000_S12000_C57,54511,54506.4
I3333_S13332_C428,103171,103158.4
I4000_S24000_C401,1695868,1695866.2
I9000_S36000_C1500,1128605,1128599.4
I12000_S36000_C2000,2785149,2785140.2
