Instance Name,Best Result,Average Result
I7073_S9102_C1000,4567058,4566979.0
I10000_S35030_C1000,1301922,1301550.6
I8000_S95928_C1000,1595832,1588269.8
I500_S998_C1000,748793,745838.4
I1662_S10000_C1000,1304615,1302718.6
I80_S240_C300,108281,108274.0
I80_S480_C600,483720,481104.0
I99_S399_C400,145842,145828.4
I100_S500_C500,450287,450257.2
I100_S600_C153,73935,72673.6
I120_S480_C500,568804,568777.0
I200_S1000_C400,21396,20513.6
I220_S660_C430,138185,135765.8
I300_S1500_C469,590184,590174.4
I600_S3000_C332,122995,122528.4
I2000_S12000_C57,54504,54502.8
I3333_S13332_C428,103153,103146.8
I4000_S24000_C401,1695885,1695870.4
I9000_S36000_C1500,1128600,1128583.4
I12000_S36000_C2000,2785134,2785126.4
