Instance Name,Best Result,Average Result
I7073_S9102_C1000,4567047,4566980.6
I10000_S35030_C1000,1301975,1301516.2
I8000_S95928_C1000,1595233,1590000.4
I500_S998_C1000,746981,744930.0
I1662_S10000_C1000,1304938,1303604.8
I80_S240_C300,108278,108267.4
I80_S480_C600,483581,479750.2
I99_S399_C400,145819,145812.4
I100_S500_C500,450268,450246.2
I100_S600_C153,73186,72086.0
I120_S480_C500,568764,568745.8
I200_S1000_C400,20620,20285.0
I220_S660_C430,138184,135335.4
I300_S1500_C469,590218,590177.8
I600_S3000_C332,122883,122474.0
I2000_S12000_C57,54510,54506.0
I3333_S13332_C428,103154,103143.8
I4000_S24000_C401,1695895,1695869.0
I9000_S36000_C1500,1128585,1128581.4
I12000_S36000_C2000,2785124,2785118.6
