Instance Name,Best Result,Average Result
I7073_S9102_C1000,4567018,4566904.4
I10000_S35030_C1000,1301264,1300923.6
I8000_S95928_C1000,1591053,1581043.8
I500_S998_C1000,747033,744045.6
I1662_S10000_C1000,1304337,1301822.4
I80_S240_C300,108286,108279.6
I80_S480_C600,487973,484191.8
I99_S399_C400,145854,145835.4
I100_S500_C500,450360,450303.0
I100_S600_C153,73245,72015.2
I120_S480_C500,568842,568817.4
I200_S1000_C400,20427,19628.6
I220_S660_C430,136826,135117.8
I300_S1500_C469,590294,590222.2
I600_S3000_C332,122743,122152.4
I2000_S12000_C57,54506,54500.2
I3333_S13332_C428,103166,103155.8
I4000_S24000_C401,1695876,1695866.8
I9000_S36000_C1500,1128605,1128600.4
I12000_S36000_C2000,2785141,2785137.2
