Instance Name,Best Result,Average Result
I7073_S9102_C1000,4566958,4566804.8
I10000_S35030_C1000,1301949,1301374.2
I8000_S95928_C1000,1589364,1575148.6
I500_S998_C1000,743872,740844.8
I1662_S10000_C1000,1305207,1303069.4
I80_S240_C300,108283,108271.6
I80_S480_C600,487365,482029.2
I99_S399_C400,145852,145843.0
I100_S500_C500,450309,450282.0
I100_S600_C153,73979,72272.4
I120_S480_C500,568828,568793.4
I200_S1000_C400,21143,20236.6
I220_S660_C430,139595,136956.2
I300_S1500_C469,590301,590245.8
I600_S3000_C332,123736,122785.4
I2000_S12000_C57,54505,54502.4
I3333_S13332_C428,103161,103153.6
I4000_S24000_C401,1695869,1695856.6
I9000_S36000_C1500,1128621,1128599.4
I12000_S36000_C2000,2785150,2785140.2
