Instance Name,Best Result,Average Result
I7073_S9102_C1000,4566984,4566897.4
I10000_S35030_C1000,1301687,1301425.2
I8000_S95928_C1000,1578926,1574537.4
I500_S998_C1000,745716,743855.4
I1662_S10000_C1000,1308424,1303889.0
I80_S240_C300,108287,108278.2
I80_S480_C600,485603,481974.4
I99_S399_C400,145857,145835.2
I100_S500_C500,450319,450297.0
I100_S600_C153,72566,71560.2
I120_S480_C500,568831,568794.2
I200_S1000_C400,21888,20675.0
I220_S660_C430,138207,136492.6
I300_S1500_C469,590273,590240.8
I600_S3000_C332,122699,122215.4
I2000_S12000_C57,54508,54506.0
I3333_S13332_C428,103166,103150.2
I4000_S24000_C401,1695874,1695865.2
I9000_S36000_C1500,1128628,1128609.6
I12000_S36000_C2000,2785155,2785128.4
