Instance Name,Best Result,Average Result
I7073_S9102_C1000,4567041,4566877.0
I10000_S35030_C1000,1301465,1300986.2
I8000_S95928_C1000,1592553,1577490.6
I500_S998_C1000,750085,743252.8
I1662_S10000_C1000,1304862,1303634.6
I80_S240_C300,108281,108274.6
I80_S480_C600,485123,482806.4
I99_S399_C400,145854,145837.4
I100_S500_C500,450305,450286.6
I100_S600_C153,72596,71597.0
I120_S480_C500,568798,568780.2
I200_S1000_C400,21105,20457.2
I220_S660_C430,141628,139570.0
I300_S1500_C469,590260,590230.0
I600_S3000_C332,123200,122501.4
I2000_S12000_C57,54508,54504.6
I3333_S13332_C428,103168,103159.2
I4000_S24000_C401,1695869,1695857.2
I9000_S36000_C1500,1128619,1128604.2
I12000_S36000_C2000,2785146,2785126.0
